Peak_ID	Motif	P_regulatory	M_prom	M_chip	M_atac	logFC	FIMO_score
Srp54k_FBtr0077169	crebA	0.6924090564229526	1	0	1	73.0	7.459199999999999
Trp1_FBtr0079932	crebA	0.6924090564229526	1	0	1	65.0	4.158169999999999
Sec63_FBtr0076847	crebA	0.6924090564229526	1	0	1	64.0	6.322448
Srp68_FBtr0076517	crebA	0.2844553516649005	1	0	1	75.0	2.8390055555555556
Rtnl1_FBtr0079042	crebA	0.2844553516649005	1	0	1	56.0	2.918366666666667
Rtnl1_FBtr0079041	crebA	0.2844553516649005	1	0	1	56.0	3.354355454545455
SrpRbeta_FBtr0076598	crebA	0.2844553516649005	1	0	1	69.0	3.1326525
Srp14_FBtr0273271	crebA	0.2844553516649005	1	0	1	72.0	2.775508
Sec61beta_FBtr0087498	crebA	0.2844553516649005	1	0	1	67.0	3.826536
wbl_FBtr0340470	crebA	0.19443530783721555	1	0	1	40.0	3.9795966666666662
wbl_FBtr0086510	crebA	0.19443530783721555	1	0	1	40.0	4.027216666666667
ERp60_FBtr0088058	crebA	0.19443530783721555	1	0	1	46.0	5.227414285714285
Pdi_FBtr0346644	crebA	0.19443530783721555	1	0	1	48.0	4.30613
Pdi_FBtr0075648	crebA	0.19443530783721555	1	0	1	48.0	5.707496666666667
Sec24AB_FBtr0088451	crebA	0.19443530783721555	1	0	1	33.0	6.636748
Sec23_FBtr0309091	crebA	0.19443530783721555	1	0	1	34.0	4.334698
Sec61gamma_FBtr0074745	crebA	0.14558256815262388	1	0	0	66.0	5.227411428571428
Rtnl1_FBtr0079038	crebA	0.09040950186137213	1	0	1	56.0	2.6683612500000002
Sec61alpha_FBtr0079266	crebA	0.09040950186137213	1	0	1	68.0	2.5547327272727274
atl_FBtr0084656	crebA	0.09040950186137213	1	0	1	58.0	2.2993183333333334
Sec61alpha_FBtr0345753	crebA	0.09040950186137213	1	0	1	68.0	2.5227646153846157
atl_FBtr0084657	crebA	0.09040950186137213	1	0	1	58.0	2.489795
Tapdelta_FBtr0345952	crebA	0.09040950186137213	1	0	1	62.0	2.47193625
Srp72_FBtr0083911	crebA	0.09040950186137213	1	0	1	74.0	1.3148671428571428
Srp9_FBtr0076750	crebA	0.09040950186137213	1	0	1	76.0	2.5326519999999997
CrebA_FBtr0075557	crebA	0.09040950186137213	1	0	1	77.0	2.6802716666666666
atl_FBtr0345218	crebA	0.09040950186137213	1	0	1	58.0	2.489795
Srp19_FBtr0076879	crebA	0.09040950186137213	1	0	1	71.0	0.64795625
Trp1_FBtr0079931	crebA	0.09040950186137213	1	0	1	65.0	0.7193875000000001
Tapdelta_FBtr0088153	crebA	0.09040950186137213	1	0	1	62.0	2.475508
twr_FBtr0081687	crebA	0.04086189214597045	1	0	1	53.0	2.8612140000000004
Sec13_FBtr0084409	crebA	0.04086189214597045	1	0	1	32.0	3.868807142857143
Sar1_FBtr0084206	crebA	0.04086189214597045	1	0	1	35.0	3.1088566666666666
Calr_FBtr0082103	crebA	0.04086189214597045	1	0	1	43.0	3.2979619999999996
pns_FBtr0072737	crebA	0.04086189214597045	1	0	1	42.0	3.1883838461538465
pns_FBtr0072736	crebA	0.04086189214597045	1	0	1	42.0	3.234695
Sec13_FBtr0346160	crebA	0.04086189214597045	1	0	1	32.0	3.67857375
TRAM_FBtr0070169	crebA	0.02919518603821327	1	0	0	63.0	3.86881
SrpRalpha_FBtr0073480	crebA	0.02919518603821327	1	0	0	70.0	3.5323175
Sec61gamma_FBtr0344986	crebA	0.02919518603821327	1	0	0	66.0	3.9199392307692307
ReepB_FBtr0302451	crebA	0.02919518603821327	1	0	0	57.0	3.1768722222222223
ReepB_FBtr0087525	crebA	0.02919518603821327	1	0	0	57.0	2.8826525
sage_FBtr0346321	crebA	0.02879021331987355	1	0	1	3.0	4.241488333333334
ArfGAP3_FBtr0078539	crebA	0.02879021331987355	1	0	1	11.0	4.6349277777777775
beta'COP_FBtr0080469	crebA	0.02879021331987355	1	0	1	18.0	5.528582
Membrin_FBtr0077145	crebA	0.02879021331987355	1	0	1	28.0	4.027213333333333
KdelR_FBtr0080021	crebA	0.02879021331987355	1	0	1	10.0	4.6347000000000005
CG9175_FBtr0079211	crebA	0.02879021331987355	1	0	1	30.0	3.96429
ArfGAP3_FBtr0078540	crebA	0.02879021331987355	1	0	1	11.0	5.370272857142857
Xbp1_FBtr0310044	crebA	0.02879021331987355	1	0	1	2.0	5.533541428571428
Xbp1_FBtr0310045	crebA	0.02879021331987355	1	0	1	2.0	5.533541428571428
CG33774_FBtr0091775	crebA	0.017931368565803046	1	0	0	50.0	5.438784999999999
CHOp24_FBtr0070675	crebA	0.017931368565803046	1	0	0	37.0	5.921779999999999
CaBP1_FBtr0080837	crebA	0.017931368565803046	1	0	0	47.0	4.90306
Der-1_FBtr0077813	crebA	0.017931368565803046	1	0	0	38.0	4.3632539999999995
Der-1_FBtr0334758	crebA	0.017931368565803046	1	0	0	38.0	4.3632539999999995
p24-1_FBtr0073604	crebA	0.017931368565803046	1	0	0	36.0	8.250751428571428
sel_FBtr0088433	crebA	0.017931368565803046	1	0	0	41.0	4.205658461538461
Sar1_FBtr0084210	crebA	0.010538786868533802	1	0	1	35.0	1.9591866666666666
Spase12_FBtr0085435	crebA	0.010538786868533802	1	0	1	54.0	2.0816310000000002
TRAM_FBtr0070168	crebA	0.0074623771817088885	1	0	0	63.0	2.489795
Rtnl1_FBtr0079044	crebA	0.0074623771817088885	1	0	0	56.0	2.718366
Rtnl1_FBtr0079043	crebA	0.0074623771817088885	1	0	0	56.0	2.3061214285714287
Rtnl1_FBtr0079040	crebA	0.0074623771817088885	1	0	0	56.0	2.461224
